epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,153.36,1.7827,1.98269,1.74335,0.34804,0.34563,0.2688,0.11885,2.02267,4.63892,2.15566,0.000331349,0.000331349,0.000331349
2,288.522,1.92789,2.11696,1.89714,0.40271,0.42206,0.34699,0.14908,1.92506,3.41973,2.06908,0.000651522,0.000651522,0.000651522
3,422.1,1.93224,2.19735,1.92926,0.38877,0.40608,0.3436,0.1393,2.10252,2.32237,2.11707,0.000958494,0.000958494,0.000958494
4,551.664,1.89889,2.12237,1.89814,0.37131,0.37795,0.32115,0.14486,1.89142,2.58842,1.97256,0.0009406,0.0009406,0.0009406
5,680.53,1.83832,2.01741,1.85059,0.42608,0.38446,0.37963,0.17772,1.97356,2.29126,2.03088,0.0009208,0.0009208,0.0009208
6,814.443,1.80627,1.91606,1.83939,0.57116,0.46415,0.49016,0.23434,1.8004,1.89377,1.84421,0.000901,0.000901,0.000901
7,944.68,1.7774,1.83258,1.80499,0.62352,0.50926,0.54011,0.24852,1.81284,1.80987,1.90516,0.0008812,0.0008812,0.0008812
8,1078.73,1.76159,1.76587,1.80925,0.67197,0.56047,0.61235,0.29169,1.79551,1.52671,1.88711,0.0008614,0.0008614,0.0008614
9,1208.7,1.70739,1.71017,1.7771,0.64079,0.57176,0.61851,0.31563,1.69816,1.45126,1.78856,0.0008416,0.0008416,0.0008416
10,1337.19,1.69658,1.64062,1.73988,0.62876,0.59265,0.62516,0.3204,1.70447,1.52992,1.79993,0.0008218,0.0008218,0.0008218
11,1470.29,1.66283,1.5749,1.72628,0.72422,0.6227,0.68933,0.35472,1.68938,1.33348,1.78474,0.000802,0.000802,0.000802
12,1603.02,1.64045,1.52763,1.70923,0.73795,0.62142,0.69063,0.37403,1.65113,1.31864,1.74703,0.0007822,0.0007822,0.0007822
13,1736.25,1.63004,1.50886,1.70546,0.76283,0.58967,0.67412,0.35969,1.69423,1.35407,1.77546,0.0007624,0.0007624,0.0007624
14,1865.6,1.6202,1.44901,1.68179,0.67797,0.63807,0.6866,0.37364,1.63321,1.33087,1.74341,0.0007426,0.0007426,0.0007426
15,1993.87,1.57894,1.42207,1.67044,0.71926,0.64131,0.6912,0.37258,1.60587,1.2779,1.69517,0.0007228,0.0007228,0.0007228
16,2122.01,1.5844,1.37721,1.67371,0.76941,0.69252,0.76476,0.41042,1.64298,1.15495,1.74157,0.000703,0.000703,0.000703
17,2250.7,1.56786,1.34429,1.65171,0.79835,0.67513,0.75187,0.40497,1.62195,1.17292,1.70595,0.0006832,0.0006832,0.0006832
18,2378.94,1.54034,1.32208,1.62723,0.76207,0.6708,0.74529,0.40514,1.63992,1.18396,1.72024,0.0006634,0.0006634,0.0006634
19,2507.32,1.53333,1.27515,1.61881,0.79473,0.66433,0.76839,0.42433,1.59323,1.11917,1.70012,0.0006436,0.0006436,0.0006436
20,2641.52,1.50804,1.26402,1.61225,0.73157,0.63333,0.7184,0.38426,1.67229,1.18566,1.7897,0.0006238,0.0006238,0.0006238
21,2769.88,1.49729,1.20541,1.58997,0.78876,0.70152,0.77548,0.44055,1.56557,1.07317,1.66294,0.000604,0.000604,0.000604
22,2898.95,1.47984,1.21086,1.59582,0.78918,0.73384,0.78422,0.44602,1.54392,1.06396,1.68422,0.0005842,0.0005842,0.0005842
23,3033.17,1.49286,1.1899,1.58798,0.83023,0.70752,0.79136,0.43306,1.61342,1.05538,1.71696,0.0005644,0.0005644,0.0005644
24,3161.93,1.46887,1.16284,1.57815,0.82769,0.75111,0.81583,0.45447,1.57631,0.98714,1.69189,0.0005446,0.0005446,0.0005446
25,3295.34,1.44705,1.12764,1.55893,0.83245,0.7161,0.80843,0.47029,1.54463,0.99311,1.66478,0.0005248,0.0005248,0.0005248
26,3428.21,1.44087,1.10813,1.56189,0.80465,0.73083,0.81426,0.46605,1.55371,0.97638,1.65012,0.000505,0.000505,0.000505
27,3556.89,1.42456,1.08973,1.54273,0.80005,0.739,0.81097,0.46611,1.55658,0.98815,1.6748,0.0004852,0.0004852,0.0004852
28,3684.71,1.42691,1.06208,1.53483,0.83897,0.73422,0.81325,0.47637,1.54937,0.96991,1.66047,0.0004654,0.0004654,0.0004654
29,3817.45,1.39244,1.04262,1.52376,0.82169,0.73676,0.82033,0.47189,1.55065,0.9794,1.68023,0.0004456,0.0004456,0.0004456
30,3946.2,1.37959,1.00914,1.51643,0.81935,0.73082,0.81004,0.475,1.54406,0.95694,1.67436,0.0004258,0.0004258,0.0004258
31,4073.84,1.38124,1.01731,1.51367,0.84833,0.7303,0.82844,0.48998,1.53876,0.92851,1.66786,0.000406,0.000406,0.000406
32,4206.68,1.35172,0.97833,1.49047,0.83306,0.75982,0.83549,0.48861,1.53227,0.92029,1.65125,0.0003862,0.0003862,0.0003862
33,4335,1.35817,0.96929,1.48346,0.81985,0.77533,0.83882,0.49229,1.53788,0.90532,1.65702,0.0003664,0.0003664,0.0003664
34,4469.65,1.33091,0.9399,1.47394,0.86774,0.74482,0.83237,0.49474,1.53184,0.8945,1.6763,0.0003466,0.0003466,0.0003466
35,4602.68,1.32061,0.92201,1.47536,0.84998,0.76977,0.84385,0.49873,1.51596,0.88042,1.65108,0.0003268,0.0003268,0.0003268
36,4735.69,1.3177,0.91915,1.46604,0.87084,0.77558,0.85652,0.50319,1.53518,0.86779,1.6512,0.000307,0.000307,0.000307
37,4868.62,1.30673,0.90164,1.46043,0.84942,0.77246,0.84915,0.49999,1.55065,0.8712,1.68141,0.0002872,0.0002872,0.0002872
38,4997.22,1.28751,0.88003,1.43966,0.8622,0.77447,0.86041,0.51008,1.52337,0.87864,1.65214,0.0002674,0.0002674,0.0002674
39,5130.84,1.277,0.84715,1.42359,0.86289,0.78864,0.86212,0.51072,1.52951,0.86279,1.66828,0.0002476,0.0002476,0.0002476
40,5265.35,1.24788,0.84679,1.41065,0.86471,0.78841,0.8555,0.50879,1.54306,0.85854,1.68329,0.0002278,0.0002278,0.0002278
41,5394.62,1.20506,0.69464,1.41787,0.87141,0.76416,0.84906,0.50664,1.54525,0.87505,1.68814,0.000208,0.000208,0.000208
42,5522.31,1.18152,0.65506,1.40605,0.88379,0.77405,0.85635,0.50532,1.54154,0.85035,1.69348,0.0001882,0.0001882,0.0001882
43,5649.49,1.1613,0.64002,1.40156,0.8725,0.76963,0.84524,0.50298,1.54194,0.8726,1.70953,0.0001684,0.0001684,0.0001684
44,5777.27,1.14181,0.62108,1.37664,0.89055,0.77998,0.8498,0.49812,1.55621,0.85824,1.69575,0.0001486,0.0001486,0.0001486
45,5905.09,1.11841,0.59978,1.35205,0.87049,0.78063,0.85386,0.49914,1.55949,0.84936,1.71263,0.0001288,0.0001288,0.0001288
46,6033.03,1.10508,0.58996,1.34584,0.88161,0.78866,0.85235,0.51156,1.53722,0.83946,1.69779,0.000109,0.000109,0.000109
47,6164.18,1.09443,0.57389,1.33774,0.87902,0.77672,0.85339,0.50766,1.56481,0.84823,1.74121,8.92e-05,8.92e-05,8.92e-05
48,6292.05,1.06573,0.56192,1.31925,0.86406,0.78064,0.85987,0.51181,1.54189,0.84893,1.71646,6.94e-05,6.94e-05,6.94e-05
49,6426.6,1.05187,0.55579,1.31756,0.86314,0.782,0.85551,0.51057,1.54304,0.85328,1.71954,4.96e-05,4.96e-05,4.96e-05
50,6554.5,1.04433,0.54102,1.30577,0.88536,0.77908,0.86117,0.51656,1.54136,0.83578,1.7211,2.98e-05,2.98e-05,2.98e-05
