epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.76,1.75454,2.13235,1.66502,0.36686,0.40331,0.31387,0.13594,2.11385,2.78294,2.16358,0.000331349,0.000331349,0.000331349
2,218.031,1.89194,2.07415,1.81564,0.39425,0.32874,0.2917,0.13142,1.95392,2.96007,1.98676,0.000651522,0.000651522,0.000651522
3,316.691,1.91419,2.1341,1.86488,0.44864,0.41218,0.36107,0.16039,1.92586,2.32537,1.94159,0.000958494,0.000958494,0.000958494
4,415.425,1.87882,2.06723,1.84546,0.54369,0.37769,0.41711,0.17428,2.02835,2.05892,2.003,0.0009406,0.0009406,0.0009406
5,514.362,1.81869,1.94343,1.78531,0.55763,0.427,0.46473,0.22914,1.84384,2.00091,1.84582,0.0009208,0.0009208,0.0009208
6,612.539,1.77918,1.84581,1.76426,0.63722,0.51522,0.57281,0.28503,1.82801,1.68764,1.80726,0.000901,0.000901,0.000901
7,711.763,1.75889,1.76181,1.73804,0.67312,0.54332,0.57422,0.27382,1.7558,1.52876,1.75699,0.0008812,0.0008812,0.0008812
8,810.216,1.73016,1.70701,1.72408,0.66211,0.58826,0.6388,0.31692,1.76512,1.50455,1.78351,0.0008614,0.0008614,0.0008614
9,908.425,1.68846,1.65167,1.70357,0.65402,0.59984,0.66371,0.34882,1.6929,1.35154,1.71843,0.0008416,0.0008416,0.0008416
10,1006.76,1.68463,1.57457,1.67107,0.67171,0.60147,0.65314,0.32684,1.71381,1.4186,1.74414,0.0008218,0.0008218,0.0008218
11,1105.65,1.64764,1.51936,1.65098,0.74162,0.63088,0.71004,0.37182,1.67668,1.2987,1.68811,0.000802,0.000802,0.000802
12,1205.97,1.6157,1.4769,1.64007,0.70757,0.61295,0.68693,0.36129,1.6771,1.36245,1.6937,0.0007822,0.0007822,0.0007822
13,1303.94,1.61591,1.45872,1.63486,0.73786,0.63754,0.72348,0.38833,1.66464,1.22832,1.68223,0.0007624,0.0007624,0.0007624
14,1402.79,1.61041,1.41969,1.6156,0.70622,0.66943,0.72112,0.38637,1.65175,1.22095,1.66836,0.0007426,0.0007426,0.0007426
15,1501.34,1.56161,1.36075,1.59158,0.77579,0.67529,0.75103,0.39774,1.65285,1.21196,1.66215,0.0007228,0.0007228,0.0007228
16,1603.08,1.56166,1.33983,1.59713,0.80852,0.66913,0.75638,0.41133,1.64393,1.1609,1.64642,0.000703,0.000703,0.000703
17,1703.46,1.55484,1.30009,1.57948,0.72463,0.67679,0.71334,0.37064,1.6447,1.26432,1.65754,0.0006832,0.0006832,0.0006832
18,1801.61,1.5305,1.27779,1.56505,0.787,0.67927,0.76802,0.41864,1.64841,1.1283,1.66669,0.0006634,0.0006634,0.0006634
19,1904.15,1.52506,1.23904,1.55131,0.79485,0.71523,0.79146,0.4482,1.56238,1.0689,1.58492,0.0006436,0.0006436,0.0006436
20,2009.29,1.48614,1.23184,1.52454,0.75394,0.68714,0.76421,0.4119,1.67247,1.09636,1.67912,0.0006238,0.0006238,0.0006238
21,2108.18,1.46773,1.16441,1.5114,0.80748,0.72263,0.79339,0.44493,1.60743,1.07114,1.60958,0.000604,0.000604,0.000604
22,2207.06,1.45613,1.16638,1.5172,0.75174,0.72256,0.76936,0.42902,1.60069,1.08968,1.64199,0.0005842,0.0005842,0.0005842
23,2305.67,1.47737,1.14502,1.50946,0.8184,0.70538,0.78859,0.4482,1.58095,1.05152,1.59813,0.0005644,0.0005644,0.0005644
24,2406.07,1.44729,1.11772,1.4946,0.83272,0.70103,0.80052,0.46252,1.57142,1.00465,1.59683,0.0005446,0.0005446,0.0005446
25,2506.25,1.42061,1.08646,1.47883,0.80983,0.73372,0.81035,0.46662,1.60378,0.99007,1.61842,0.0005248,0.0005248,0.0005248
26,2609.23,1.42018,1.07097,1.49023,0.81684,0.72902,0.81369,0.46137,1.59495,0.98394,1.62159,0.000505,0.000505,0.000505
27,2708.1,1.41085,1.05266,1.47143,0.86694,0.71968,0.81833,0.47794,1.54582,0.97717,1.58012,0.0004852,0.0004852,0.0004852
28,2809.41,1.40186,1.03053,1.45716,0.8493,0.72781,0.80754,0.47256,1.59311,0.97521,1.6062,0.0004654,0.0004654,0.0004654
29,2907.31,1.3679,1.01646,1.44814,0.85818,0.71932,0.82185,0.47123,1.55523,0.94049,1.61003,0.0004456,0.0004456,0.0004456
30,3005.72,1.36798,0.97108,1.44998,0.82549,0.74827,0.81967,0.4771,1.59258,0.93594,1.64096,0.0004258,0.0004258,0.0004258
31,3103.61,1.35805,0.98097,1.43822,0.84492,0.75405,0.82972,0.48719,1.56029,0.92128,1.58917,0.000406,0.000406,0.000406
32,3207.57,1.33214,0.94761,1.41802,0.86826,0.7528,0.84925,0.49569,1.56917,0.91752,1.5838,0.0003862,0.0003862,0.0003862
33,3311.67,1.33427,0.9331,1.40701,0.83721,0.78535,0.84927,0.49306,1.57091,0.90697,1.5885,0.0003664,0.0003664,0.0003664
34,3410.49,1.30851,0.90407,1.39911,0.83891,0.75254,0.83456,0.488,1.5598,0.91375,1.60375,0.0003466,0.0003466,0.0003466
35,3509.45,1.29178,0.89323,1.39423,0.869,0.76708,0.8427,0.49776,1.53805,0.87906,1.56674,0.0003268,0.0003268,0.0003268
36,3613.82,1.28465,0.88795,1.38636,0.8299,0.7611,0.83723,0.49204,1.55927,0.90642,1.57841,0.000307,0.000307,0.000307
37,3712.04,1.27702,0.86571,1.38076,0.87207,0.77497,0.84836,0.50138,1.56749,0.87186,1.60323,0.0002872,0.0002872,0.0002872
38,3816.63,1.25656,0.84374,1.3613,0.85563,0.75062,0.83743,0.49169,1.5675,0.88522,1.61199,0.0002674,0.0002674,0.0002674
39,3914.56,1.25087,0.81433,1.35474,0.86412,0.78737,0.84968,0.50684,1.55129,0.87996,1.59549,0.0002476,0.0002476,0.0002476
40,4019.27,1.21987,0.81344,1.34356,0.87975,0.78157,0.86017,0.51124,1.5686,0.85354,1.60971,0.0002278,0.0002278,0.0002278
41,4126,1.1769,0.65965,1.32665,0.86062,0.77846,0.85097,0.50615,1.56624,0.85154,1.61456,0.000208,0.000208,0.000208
42,4223.88,1.14753,0.62576,1.30566,0.87168,0.79517,0.86423,0.51087,1.56536,0.82563,1.62732,0.0001882,0.0001882,0.0001882
43,4321.16,1.12473,0.61187,1.30417,0.88059,0.75776,0.85277,0.50472,1.56767,0.85619,1.62277,0.0001684,0.0001684,0.0001684
44,4419.35,1.10193,0.58882,1.27594,0.84636,0.79064,0.85845,0.50371,1.58677,0.85391,1.65542,0.0001486,0.0001486,0.0001486
45,4517.75,1.08487,0.5767,1.26139,0.86753,0.78834,0.85777,0.51024,1.56492,0.8458,1.63691,0.0001288,0.0001288,0.0001288
46,4615.83,1.06757,0.56676,1.25209,0.87204,0.77884,0.85415,0.51514,1.56654,0.8316,1.6353,0.000109,0.000109,0.000109
47,4718.99,1.05034,0.55355,1.24028,0.86211,0.77838,0.857,0.51146,1.57051,0.84583,1.64789,8.92e-05,8.92e-05,8.92e-05
48,4817.41,1.03157,0.54251,1.22434,0.85757,0.7834,0.85492,0.51271,1.56552,0.84972,1.65112,6.94e-05,6.94e-05,6.94e-05
49,4915.26,1.02174,0.53557,1.22712,0.84944,0.78603,0.85844,0.5152,1.55923,0.83924,1.64001,4.96e-05,4.96e-05,4.96e-05
