epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.5523,1.81026,2.90582,1.56268,0.49633,0.50573,0.46935,0.22948,1.69071,2.1254,1.47871,0.000331349,0.000331349,0.000331349
2,133.481,1.76202,2.20881,1.56643,0.53115,0.50731,0.49603,0.25644,1.66785,1.78329,1.51115,0.000651522,0.000651522,0.000651522
3,186.642,1.76313,2.12886,1.58457,0.47041,0.50134,0.4506,0.20132,1.82176,2.03004,1.66302,0.000958494,0.000958494,0.000958494
4,238.577,1.75337,1.997,1.58937,0.4733,0.47834,0.4534,0.19335,1.8371,1.9673,1.69881,0.0009406,0.0009406,0.0009406
5,289.787,1.72218,1.88851,1.56095,0.62975,0.53417,0.53963,0.28144,1.72725,1.69896,1.53898,0.0009208,0.0009208,0.0009208
6,341.754,1.70995,1.76896,1.556,0.69175,0.53698,0.59916,0.30707,1.69174,1.54586,1.5159,0.000901,0.000901,0.000901
7,392.827,1.68219,1.69763,1.53701,0.61973,0.52422,0.54075,0.26999,1.69901,1.63443,1.52183,0.0008812,0.0008812,0.0008812
8,445.451,1.66664,1.65652,1.52276,0.70787,0.62765,0.67803,0.33724,1.73167,1.39134,1.549,0.0008614,0.0008614,0.0008614
9,496.852,1.64092,1.61337,1.51308,0.66194,0.561,0.62066,0.32611,1.64479,1.48761,1.49623,0.0008416,0.0008416,0.0008416
10,546.79,1.6391,1.55315,1.49372,0.67383,0.63835,0.6827,0.37042,1.61596,1.43387,1.48224,0.0008218,0.0008218,0.0008218
11,599.976,1.61126,1.48951,1.48763,0.78602,0.57446,0.69771,0.38639,1.62931,1.29369,1.47365,0.000802,0.000802,0.000802
12,650.877,1.5956,1.47165,1.47524,0.7381,0.65197,0.71511,0.39783,1.588,1.28181,1.4607,0.0007822,0.0007822,0.0007822
13,702.846,1.59912,1.44302,1.48645,0.80197,0.66632,0.76237,0.4205,1.59913,1.18084,1.45096,0.0007624,0.0007624,0.0007624
14,754.947,1.57712,1.4121,1.46712,0.78516,0.63452,0.7342,0.40149,1.62212,1.24692,1.45647,0.0007426,0.0007426,0.0007426
15,805.193,1.55072,1.37612,1.44201,0.7536,0.66846,0.7528,0.42674,1.55376,1.19598,1.42985,0.0007228,0.0007228,0.0007228
16,858.079,1.56802,1.37704,1.46152,0.78669,0.69841,0.76354,0.42205,1.59208,1.15884,1.47023,0.000703,0.000703,0.000703
17,913.183,1.54378,1.31069,1.43917,0.79384,0.64636,0.74123,0.41673,1.5798,1.19296,1.43495,0.0006832,0.0006832,0.0006832
18,964.384,1.52875,1.30543,1.42053,0.8265,0.68901,0.79353,0.44489,1.56527,1.09975,1.43183,0.0006634,0.0006634,0.0006634
19,1016.42,1.52316,1.25512,1.41232,0.80063,0.68685,0.7784,0.4351,1.5798,1.1197,1.45239,0.0006436,0.0006436,0.0006436
20,1069.93,1.50834,1.27273,1.41512,0.77379,0.68342,0.76435,0.42601,1.6135,1.12294,1.47063,0.0006238,0.0006238,0.0006238
21,1121.24,1.48645,1.22499,1.3979,0.77934,0.68257,0.76626,0.43717,1.57172,1.11843,1.42291,0.000604,0.000604,0.000604
22,1174.15,1.47668,1.22755,1.40123,0.81427,0.69188,0.78937,0.4472,1.55162,1.06239,1.41766,0.0005842,0.0005842,0.0005842
23,1229.21,1.4839,1.20781,1.38858,0.79059,0.69864,0.78655,0.41899,1.64274,1.07141,1.48131,0.0005644,0.0005644,0.0005644
24,1281.18,1.47322,1.18155,1.38181,0.80783,0.73492,0.81232,0.45478,1.56234,1.02063,1.43024,0.0005446,0.0005446,0.0005446
25,1334.02,1.45621,1.15388,1.37286,0.84534,0.72269,0.81537,0.46846,1.57109,1.03984,1.41575,0.0005248,0.0005248,0.0005248
26,1387.62,1.44351,1.14073,1.37056,0.78011,0.71816,0.80403,0.46328,1.54225,1.02436,1.4187,0.000505,0.000505,0.000505
27,1438.53,1.44453,1.12204,1.36519,0.80536,0.75724,0.82656,0.47367,1.53579,1.00213,1.39434,0.0004852,0.0004852,0.0004852
28,1490.61,1.43276,1.10874,1.35858,0.80472,0.73319,0.79979,0.46066,1.5536,1.02218,1.41594,0.0004654,0.0004654,0.0004654
