epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.3152,1.76565,2.25455,1.58522,0.68518,0.4332,0.46494,0.22003,1.80104,1.86201,1.62977,0.000331349,0.000331349,0.000331349
2,143.731,1.7831,1.83589,1.62206,0.47626,0.47814,0.45175,0.20422,1.80694,2.23666,1.69531,0.000651522,0.000651522,0.000651522
3,201.147,1.80095,1.8999,1.67571,0.67418,0.43057,0.48967,0.22043,1.93787,1.92455,1.80264,0.000958494,0.000958494,0.000958494
4,258.282,1.79994,1.82742,1.66893,0.50527,0.51014,0.49756,0.25132,1.76117,1.94154,1.68075,0.0009406,0.0009406,0.0009406
5,315.363,1.75453,1.75935,1.6356,0.55251,0.45917,0.49354,0.22711,1.93714,1.72039,1.762,0.0009208,0.0009208,0.0009208
6,372.105,1.72382,1.69314,1.61662,0.68311,0.58961,0.63416,0.3304,1.7049,1.43587,1.59358,0.000901,0.000901,0.000901
7,428.428,1.70232,1.637,1.59489,0.67571,0.57487,0.5748,0.29019,1.66428,1.55237,1.57299,0.0008812,0.0008812,0.0008812
8,486.185,1.67788,1.5776,1.58247,0.69611,0.57861,0.64496,0.32182,1.75787,1.37596,1.61186,0.0008614,0.0008614,0.0008614
9,542.471,1.64371,1.53875,1.5634,0.64762,0.58367,0.63236,0.32994,1.70832,1.43577,1.62122,0.0008416,0.0008416,0.0008416
10,598.534,1.63357,1.46954,1.53987,0.70531,0.64291,0.70883,0.37565,1.61475,1.28488,1.53723,0.0008218,0.0008218,0.0008218
11,656.764,1.59784,1.4079,1.51759,0.74877,0.67807,0.74545,0.3974,1.64359,1.18843,1.53315,0.000802,0.000802,0.000802
12,712.713,1.57373,1.38668,1.50837,0.73206,0.62474,0.70924,0.39199,1.59189,1.26505,1.50111,0.0007822,0.0007822,0.0007822
13,769.643,1.57249,1.36707,1.50468,0.77048,0.65901,0.73926,0.4104,1.60924,1.16896,1.51448,0.0007624,0.0007624,0.0007624
14,827.057,1.57222,1.33246,1.50209,0.76533,0.7006,0.75695,0.42198,1.58149,1.15877,1.52119,0.0007426,0.0007426,0.0007426
15,883.418,1.52636,1.27117,1.4717,0.7827,0.66828,0.75955,0.41683,1.58368,1.12052,1.47605,0.0007228,0.0007228,0.0007228
16,940.255,1.53137,1.26907,1.47487,0.79962,0.68104,0.767,0.42184,1.60049,1.16227,1.51388,0.000703,0.000703,0.000703
17,997.016,1.51891,1.22881,1.46821,0.75831,0.7089,0.77565,0.43321,1.58765,1.06244,1.48939,0.0006832,0.0006832,0.0006832
18,1053.11,1.48969,1.20374,1.43932,0.78409,0.69611,0.76102,0.42773,1.58583,1.0892,1.49504,0.0006634,0.0006634,0.0006634
19,1110.06,1.49017,1.16446,1.43475,0.807,0.70112,0.78901,0.43536,1.58205,1.06754,1.50022,0.0006436,0.0006436,0.0006436
20,1165.41,1.47464,1.16009,1.42436,0.78331,0.71444,0.78183,0.4279,1.63256,1.095,1.5286,0.0006238,0.0006238,0.0006238
21,1221.98,1.45473,1.11583,1.40933,0.81318,0.7289,0.81328,0.46724,1.56739,0.99035,1.46988,0.000604,0.000604,0.000604
22,1278.51,1.44011,1.12037,1.41375,0.8271,0.7392,0.80417,0.45537,1.55113,1.00924,1.47382,0.0005842,0.0005842,0.0005842
23,1334.01,1.44453,1.0901,1.39904,0.82334,0.72213,0.81644,0.46259,1.57329,0.97949,1.46302,0.0005644,0.0005644,0.0005644
