case_id,case_type,rank,target_id,class_name,ec_terp_score,ec_terp_level,human_review_required
case_001_flood_road_blocked,synthetic_demo,1,T001,civilian,54.935,medium,True
case_001_flood_road_blocked,synthetic_demo,2,T002,dog,47.385,medium,True
case_002_damaged_building_human_candidate,synthetic_demo,1,T011,civilian,57.865,high,True
case_002_damaged_building_human_candidate,synthetic_demo,2,TR012,human_candidate,48.625,medium,True
case_003_low_confidence_target,synthetic_demo,1,T022,cow,46.59,medium,True
case_003_low_confidence_target,synthetic_demo,2,T021,civilian,43.225,medium,True
case_004_path_unavailable_high_risk,synthetic_demo,1,T032,civilian,62.98,high,True
case_004_path_unavailable_high_risk,synthetic_demo,2,T031,civilian,47.505,medium,True
case_005_coverage_gap_case,synthetic_demo,1,T041,civilian,61.3575,high,True
case_005_coverage_gap_case,synthetic_demo,2,T042,horse,56.4075,high,True
case_005_coverage_gap_case,synthetic_demo,3,TR043,human_candidate,51.9925,medium,True
